P9503_120_S20_L002_R2_001	14.0	8.0	3.5	5.0	6.5	12.0	21.0	25.5	30.0	42.0	54.0	70.0	83.0	101.0	129.0	198.0	323.0	527.0	652.5	920.5	1294.0	1856.0	3226.5	4790.5	7060.0	10680.0	16206.5	25469.5	40426.5	60907.0	87010.0	126506.5	177890.0	233030.0	299227.5	368403.5	437250.5	505100.0	560424.0	596726.0	610743.5	614882.5	606354.5	559045.5	487085.0	420582.5	353986.0	283507.5	219365.5	173790.5	136656.5	96309.0	66719.5	49367.0	35485.5	27630.0	22222.5	16275.5	11147.0	7032.0	4732.0	3691.0	2892.5	2219.0	1842.5	1404.0	837.5	436.5	245.5	137.5	85.0	71.0	53.5	36.5	24.0	13.5	15.0	19.0	17.5	11.5	10.0	12.0	10.0	5.5	5.5	7.0	6.5	4.5	4.5	6.5	5.5	5.0	3.5	1.0	0.5	2.0	2.0	1.0	1.0	0.5	0.0
P9503_120_S20_L003_R1_001	1.0	2.0	3.0	4.5	4.5	2.5	3.0	2.5	3.0	5.5	8.0	12.5	25.5	57.5	138.0	401.0	744.5	1245.5	1738.5	2624.5	4270.5	6548.5	8609.0	10618.0	13086.0	16893.5	22984.5	29633.0	39555.0	55411.5	76827.5	107817.5	148743.0	197676.0	257564.0	319919.5	380021.5	441404.5	501346.0	552947.5	587784.5	606784.0	611596.0	580894.5	530044.5	474777.5	407798.0	336911.0	267755.5	217901.5	171995.5	123949.5	90234.5	68113.0	50686.0	37757.0	28855.0	21647.5	17630.5	13091.5	7790.0	5036.0	3985.0	2928.0	2178.5	1558.0	883.5	405.0	132.0	71.5	42.5	30.5	25.0	10.5	3.5	2.5	2.0	2.0	1.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9503_120_S20_L003_R2_001	19.0	17.0	20.5	30.0	34.0	38.5	47.5	47.0	54.5	68.0	76.5	97.0	111.0	123.5	157.5	224.0	338.0	532.5	610.5	850.5	1249.5	1865.5	3254.5	4754.5	7020.5	10776.5	16220.0	25568.0	40648.0	61159.5	87519.0	127021.0	178748.5	234766.0	301393.5	371794.5	441949.0	510130.0	565792.5	603050.5	617834.5	621510.0	612853.0	565248.5	492890.5	425512.0	358167.5	286883.5	221883.5	175761.0	137954.0	97417.0	67296.5	49991.5	36029.0	28115.0	22721.0	16551.0	11373.5	7143.0	4796.0	3678.5	2983.0	2294.5	1817.0	1360.0	798.5	399.0	206.0	132.0	85.5	73.0	64.5	37.5	27.0	25.5	18.0	14.0	14.0	12.0	9.5	8.5	9.0	6.0	2.5	1.5	2.5	3.0	3.5	3.5	1.5	0.5	1.0	2.0	1.5	1.0	1.0	0.5	0.0	0.0	0.5
P9503_121_S21_L001_R1_001	3.0	2.5	1.5	2.0	3.5	5.0	6.0	7.5	13.5	13.0	10.5	22.5	51.0	114.5	299.0	719.5	1569.0	2854.0	3563.5	4880.0	7818.5	10982.5	14245.0	18223.0	23102.5	30238.0	39296.0	49987.0	65552.0	86352.5	114308.5	150928.0	191374.0	238868.5	293803.5	348506.0	399618.5	451823.5	507099.0	554432.5	585260.0	595994.5	590312.5	557611.5	506391.5	451530.5	385642.0	315268.0	249906.5	202031.0	158504.5	113279.0	83384.5	64758.0	47988.0	35366.5	26816.5	20107.5	16813.5	12255.0	6767.0	4339.0	3550.0	2705.5	2026.5	1347.0	711.5	367.5	161.0	80.5	48.0	29.0	22.0	13.0	6.0	6.5	7.5	6.0	2.5	0.5	1.0	1.0	0.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9503_121_S21_L001_R2_001	107.0	96.5	83.0	82.5	71.5	70.0	82.5	88.0	111.0	121.0	132.0	165.0	191.0	237.0	272.5	350.5	518.0	707.5	871.0	1370.0	2246.0	3380.5	5409.5	8548.5	13029.0	19460.0	28900.0	42736.5	62739.5	87054.5	115469.0	156078.5	205363.5	255445.5	313836.0	373546.0	436147.0	502920.0	557131.0	592389.0	609672.0	616323.5	611427.0	566650.5	492950.0	425993.5	359485.5	289286.5	225092.5	177645.5	139363.0	97679.5	65972.5	48929.5	35677.5	27781.0	22475.0	16337.5	10805.0	6682.5	4443.5	3421.0	2898.0	2366.0	1866.5	1350.5	785.0	439.0	258.0	145.0	77.5	53.0	46.0	31.5	23.5	26.0	22.0	17.0	18.0	15.5	11.5	9.5	10.0	7.5	3.5	5.5	8.0	5.5	3.5	4.0	2.5	1.0	1.0	1.5	2.0	1.0	1.5	3.5	2.0	0.5	0.5
P9503_121_S21_L002_R1_001	3.0	2.5	1.0	1.0	1.0	2.0	6.5	6.0	4.5	10.5	18.0	24.0	54.5	128.0	312.5	696.5	1593.5	2848.0	3571.0	4987.0	7920.5	11183.5	14407.0	18450.0	23531.0	30731.5	39606.0	49871.5	65899.5	87399.5	115407.0	151702.5	192226.5	240213.0	296441.5	350975.0	401266.5	454399.5	509724.5	557834.0	589131.0	599472.5	593549.5	560021.0	508359.0	453712.0	388003.0	317306.0	251914.5	203784.0	159834.0	114519.0	84246.0	65455.0	48660.5	35832.5	27076.5	20311.0	16967.0	12244.5	6755.0	4324.5	3591.0	2775.5	2046.0	1371.0	733.5	378.5	171.0	85.0	41.0	24.5	22.0	16.5	5.0	5.0	6.0	3.5	3.0	3.5	2.5	1.5	2.5	1.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9503_121_S21_L002_R2_001	11.0	8.5	7.0	9.5	13.0	18.0	24.0	29.5	40.0	53.0	68.0	85.5	110.5	148.0	190.5	284.5	467.5	707.0	850.5	1343.0	2283.0	3461.5	5500.0	8628.0	13194.5	19506.5	28956.5	43134.5	63305.0	87510.0	115921.5	157185.0	206821.5	256001.5	314400.5	374743.0	439046.5	505763.0	559429.5	595558.0	613106.0	620771.5	616019.0	570678.0	495752.5	428782.0	362556.0	291635.0	226988.0	178852.5	140615.0	99185.5	67280.5	49698.5	35858.5	27833.5	22621.5	16686.5	11094.5	6807.5	4484.5	3427.5	2848.5	2366.0	1918.5	1373.0	821.0	498.5	259.5	138.5	92.0	68.0	46.0	37.5	30.0	22.5	22.5	15.0	13.0	16.5	15.5	9.0	6.5	7.0	8.0	8.5	5.0	4.0	5.0	3.5	3.5	3.0	3.0	3.5	2.5	1.5	1.0	2.0	2.0	1.0	0.5
P9503_121_S21_L003_R1_001	0.0	0.0	0.5	0.5	1.0	2.0	2.0	3.0	8.5	15.5	16.0	22.5	49.0	113.0	292.5	699.5	1538.0	2807.5	3644.0	5015.0	8040.0	11347.5	14482.0	18646.0	23571.0	30838.5	40145.5	50797.0	66788.0	87967.5	116467.5	153712.5	194863.5	242753.0	299174.5	354518.0	406205.5	460444.5	516677.0	565109.5	596402.5	607692.0	601839.0	568395.5	516339.5	460127.0	394072.0	322371.5	254812.0	206177.0	161654.5	115404.0	85110.5	66153.0	49385.5	36476.0	27471.5	20740.5	17261.5	12392.5	6861.5	4401.5	3620.5	2822.5	2081.5	1404.0	747.5	359.5	152.0	77.5	45.0	31.0	26.5	13.0	4.0	6.5	5.0	3.5	4.0	2.5	3.0	2.5	0.5	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9503_121_S21_L003_R2_001	18.0	16.0	22.0	33.0	39.0	47.0	61.5	69.0	74.0	86.0	95.5	107.5	143.0	174.0	203.0	305.5	481.5	734.0	908.0	1402.0	2275.5	3410.0	5418.0	8594.0	13146.0	19525.0	29213.5	43403.5	63393.5	87823.5	116913.0	158664.5	208582.5	258676.0	318413.0	379863.0	444595.5	512299.5	566227.5	603401.0	621535.5	628327.5	623447.5	578504.0	504328.5	435574.5	368018.5	296526.0	230396.5	181781.5	143075.0	100286.5	67688.5	49955.5	36218.5	28424.5	23044.5	16855.0	11200.5	6961.5	4562.5	3497.0	2960.5	2442.0	1957.5	1350.0	747.5	421.5	235.5	143.0	89.0	75.0	53.5	30.5	26.5	21.5	19.5	15.5	10.0	9.5	9.0	7.5	8.0	6.0	6.0	6.0	4.0	3.5	2.5	2.0	2.0	2.0	1.5	0.5	1.5	1.5	0.5	0.5	0.5	0.5	0.5
P9503_122_S22_L001_R1_001	3.0	3.5	2.5	3.0	5.5	7.0	9.0	9.5	14.0	20.5	25.0	40.0	71.5	197.5	521.5	1053.0	2019.5	3533.5	4428.0	6006.0	9214.0	12461.0	15320.0	18830.5	23482.0	29974.0	38172.0	47869.0	62710.0	82083.5	106794.0	139242.5	174989.0	215758.0	263103.5	308924.5	349503.5	391204.5	433925.5	466907.0	484620.5	484968.5	471424.0	436727.5	387649.5	338057.5	282168.0	226057.5	176757.0	139326.5	105845.0	74118.0	53102.5	39606.5	28615.5	20862.5	15967.5	11801.5	9668.5	7038.5	3907.5	2422.0	1923.0	1455.0	1037.5	649.5	365.0	195.5	81.0	43.0	19.0	11.5	12.5	6.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
