Sample	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate	HTSeq Count_mqc-generalstats-htseq_count-percent_assigned	HTSeq Count_mqc-generalstats-htseq_count-assigned	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P9503_119_S19_L002_R1_001											70.81723440507915	40.0	126.0	18.181818181818183	7804806.0
P9503_119_S19_L002_R2_001											70.2371743653761	40.0	126.0	18.181818181818183	7804806.0
P9503_119_S19_L003				0.01527276	61319.0	11949358.0	80.83261662405646	68.95852637808075	0.15955659946849193	14782842.0					
P9503_119_S19_L003_R1_001											70.4330213756929	40.0	126.0	18.181818181818183	7897746.0
P9503_119_S19_L003_R2_001											70.29954008494127	40.0	126.0	18.181818181818183	7897746.0
P9503_120		71.35435708542956	16657624												
P9503_120_MRG_STAT				0.01516107	202442.0	37811465.0	81.13657225877053	69.04550909413251	0.1628805615935335	46602246.0					
P9503_120_S20_L001				0.01505668	69690.0	12505656.0	81.25102736063597	69.22972868843097	0.16561865594655503	15391382.0					
P9503_120_S20_L001_R1_001											70.88541395054708	40.0	126.0	18.181818181818183	8306494.0
P9503_120_S20_L001_R2_001											70.98820303687731	40.0	126.0	18.181818181818183	8306494.0
P9503_120_S20_L002				0.01509453	65200.0	12617760.0	81.27905179077557	69.22737696469981	0.15937258438546767	15524000.0					
P9503_120_S20_L002_R1_001											71.57961402656451	40.0	126.0	18.181818181818183	8383769.0
P9503_120_S20_L002_R2_001											70.75607882888548	40.0	126.0	18.181818181818183	8383769.0
P9503_120_S20_L003				0.01533007	67552.0	12688049.0	80.88327278160887	68.68477982597415	0.16366559944677278	15686864.0					
P9503_120_S20_L003_R1_001											71.02835827549963	40.0	126.0	18.181818181818183	8470199.0
P9503_120_S20_L003_R2_001											70.7324603242956	40.0	126.0	18.181818181818183	8470199.0
P9503_121		70.81712555944796	17023641												
P9503_121_MRG_STAT				0.01503169	223306.0	38939479.0	81.1392803345467	68.73535009025667	0.17666053842279716	47990910.0					
P9503_121_S21_L001				0.01492985	75031.0	12897361.0	81.27850528872125	68.92257098325774	0.17917700081194304	15868108.0					
P9503_121_S21_L001_R1_001											71.99229584766118	40.0	126.0	18.181818181818183	8652121.0
P9503_121_S21_L001_R2_001											71.59181883675512	40.0	126.0	18.181818181818183	8652121.0
P9503_121_S21_L002				0.01496823	70668.0	12965951.0	81.27491271031357	68.91761290303978	0.16826089207671288	15953202.0					
P9503_121_S21_L002_R1_001											72.39881327532541	40.0	126.0	27.27272727272727	8706229.0
P9503_121_S21_L002_R2_001											71.3852604777812	40.0	126.0	18.181818181818183	8706229.0
P9503_121_S21_L003				0.01519499	77607.0	13076167.0	80.86883410845043	68.37179645754998	0.18247823075400751	16169600.0					
P9503_121_S21_L003_R1_001											72.37918344141684	40.0	126.0	27.27272727272727	8819732.0
P9503_121_S21_L003_R2_001											71.56115012356463	40.0	126.0	18.181818181818183	8819732.0
P9503_122		70.74093619887599	13930042												
P9503_122_MRG_STAT				0.01504261	156192.0	31919513.0	81.16951647557804	69.285093153613	0.15086774893661734	39324508.0					
P9503_122_S22_L001				0.01494161	52599.0	10572663.0	81.29262078140285	69.47465900683747	0.15477845613064933	13005686.0					
P9503_122_S22_L001_R1_001											69.81100209032289	39.0	126.0	18.181818181818183	7014952.0
P9503_122_S22_L001_R2_001											69.0431746699976	39.0	126.0	18.181818181818183	7014952.0
P9503_122_S22_L002				0.01497461	51981.0	10653971.0	81.31215771945566	69.47403239490066	0.1484061583098748	13102556.0					
P9503_122_S22_L002_R1_001											70.16864939690588	39.0	126.0	18.181818181818183	7071478.0
P9503_122_S22_L002_R2_001											68.96919178145068	39.0	126.0	18.181818181818183	7071478.0
P9503_122_S22_L003				0.01521021	51612.0	10692879.0	80.9069596510845	68.91123408079105	0.1494597642026878	13216266.0					
P9503_122_S22_L003_R1_001											69.89045143221654	39.0	126.0	18.181818181818183	7132013.0
P9503_122_S22_L003_R2_001											68.87336599070706	39.0	126.0	18.181818181818183	7132013.0
P9503_123		70.01666652466945	15367809												
P9503_123_MRG_STAT				0.0151474	178170.0	35234302.0	80.39227461367706	68.3860055576382	0.1559780204285072	43827970.0					
P9503_123_S23_L001				0.01504621	57885.0	11702292.0	80.51326302851936	68.54067125552835	0.15202330106599324	14534614.0					
P9503_123_S23_L001_R1_001											70.56581999848078	39.0	126.0	18.181818181818183	7891844.0
P9503_123_S23_L001_R2_001											69.17680154684035	39.0	126.0	18.181818181818183	7891844.0
P9503_123_S23_L002				0.0150787	60231.0	11754332.0	80.51691026556816	68.56116495650127	0.15656993676374728	14598588.0					
P9503_123_S23_L002_R1_001											70.83204737564469	39.0	126.0	18.181818181818183	7929551.0
P9503_123_S23_L002_R2_001											68.98488181832576	39.0	126.0	18.181818181818183	7929551.0
P9503_123_S23_L003				0.01531644	60054.0	11777678.0	80.1487849280778	68.05901256828281	0.15930159632326282	14694768.0					
P9503_123_S23_L003_R1_001											70.54285357000131	39.0	126.0	18.181818181818183	7980799.0
P9503_123_S23_L003_R2_001											68.8090204770679	39.0	126.0	18.181818181818183	7980799.0
P9503_124		63.47550412038782	10665808												
P9503_124_MRG_STAT				0.01511351	116904.0	24349387.0	72.56026288991768	61.94298687850943	0.13474496943571548	33557468.0					
P9503_124_S24_L001				0.01501872	38922.0	8064931.0	72.6723823481283	62.09311227524083	0.13680366376467246	11097656.0					
P9503_124_S24_L001_R1_001											63.715372026132194	39.0	126.0	18.181818181818183	6046226.0
P9503_124_S24_L001_R2_001											62.23368217612258	39.0	126.0	18.181818181818183	6046226.0
P9503_124_S24_L002				0.01504026	38079.0	8123865.0	72.65631204597994	62.083364039572054	0.13011097890535062	11181224.0					
P9503_124_S24_L002_R1_001											63.88775491244382	39.0	126.0	18.181818181818183	6096102.0
P9503_124_S24_L002_R2_001											61.996190014858726	39.0	126.0	18.181818181818183	6096102.0
P9503_124_S24_L003				0.01528004	39903.0	8160591.0	72.3547220627263	61.65610446981484	0.13731328779808252	11278588.0					
P9503_124_S24_L003_R1_001											62.764167884753455	39.0	126.0	18.181818181818183	6148601.0
P9503_124_S24_L003_R2_001											62.060380515175886	39.0	126.0	18.181818181818183	6148601.0
P9503_125		70.35813660227535	16533042												
P9503_125_MRG_STAT				0.0153356	171897.0	37750225.0	80.4610919547359	68.41683738170639	0.1450976595744953	46917366.0					
P9503_125_S25_L001				0.01523227	56921.0	12530245.0	80.59360110896685	68.60300638484371	0.14480193657555543	15547444.0					
P9503_125_S25_L001_R1_001											69.5186537584556	40.0	126.0	18.181818181818183	8325458.0
P9503_125_S25_L001_R2_001											69.51225190266733	40.0	126.0	18.181818181818183	8325458.0
P9503_125_S25_L002				0.01526951	55937.0	12561024.0	80.61126078312333	68.61349666478846	0.14369582768052305	15582220.0					
P9503_125_S25_L002_R1_001											69.61158812381632	40.0	126.0	18.181818181818183	8346701.0
P9503_125_S25_L002_R2_001											69.25168857553861	40.0	126.0	18.181818181818183	8346701.0
P9503_125_S25_L003				0.0155034	59039.0	12658956.0	80.18238499814603	68.03940180781218	0.14677246884948802	15787702.0					
P9503_125_S25_L003_R1_001											69.53692106746772	40.0	126.0	18.181818181818183	8454865.0
P9503_125_S25_L003_R2_001											69.3166537372068	40.0	126.0	18.181818181818183	8454865.0
P9503_126		70.0727287725473	17838835												
P9503_126_MRG_STAT				0.01535888	192837.0	40811012.0	80.28997793841145	68.11009161172123	0.14987549951778023	50829522.0					
P9503_126_S26_L001				0.01525292	63256.0	13565456.0	80.41410597991712	68.28130866727629	0.144467843678573	16869498.0					
P9503_126_S26_L001_R1_001											70.7334522844825	40.0	126.0	18.181818181818183	9038550.0
P9503_126_S26_L001_R2_001											70.76828907913307	40.0	126.0	18.181818181818183	9038550.0
P9503_126_S26_L002				0.01529336	64463.0	13582086.0	80.43697694383589	68.30627875861337	0.14948438222518706	16885376.0					
P9503_126_S26_L002_R1_001											71.00843377067136	40.0	126.0	18.181818181818183	9052845.0
P9503_126_S26_L002_R2_001											70.49542652322543	40.0	126.0	18.181818181818183	9052845.0
P9503_126_S26_L003				0.01552917	65118.0	13663470.0	80.02197175602097	67.74691929227473	0.15560496474070798	17074648.0					
P9503_126_S26_L003_R1_001											70.7181344213212	40.0	126.0	18.181818181818183	9153555.0
P9503_126_S26_L003_R2_001											70.81536865244608	40.0	126.0	18.181818181818183	9153555.0
P9503_127		70.6436996935697	14629223												
P9503_127_MRG_STAT				0.01521587	160691.0	33434273.0	80.85067789574444	68.90757005627194	0.1511107482739994	41353114.0					
P9503_127_S27_L001				0.01511622	55163.0	11106372.0	80.97183359409289	69.07160364937002	0.15476431759492693	13716340.0					
P9503_127_S27_L001_R1_001											68.3146659216286	40.0	126.0	18.181818181818183	7324421.0
P9503_127_S27_L001_R2_001											67.98790683142681	40.0	126.0	18.181818181818183	7324421.0
P9503_127_S27_L002				0.01514829	53959.0	11109735.0	81.00066274850334	69.12076094318809	0.1513749661881608	13715610.0					
P9503_127_S27_L002_R1_001											68.80983235791832	40.0	126.0	18.181818181818183	7328542.0
P9503_127_S27_L002_R2_001											68.09298907316241	40.0	126.0	18.181818181818183	7328542.0
P9503_127_S27_L003				0.01538138	51569.0	11218166.0	80.58353453777285	68.53590691123243	0.14725061783626714	13921164.0					
P9503_127_S27_L003_R1_001											68.44389521361532	40.0	126.0	18.181818181818183	7436232.0
P9503_127_S27_L003_R2_001											68.03695476265759	40.0	126.0	18.181818181818183	7436232.0
P9503_128		63.60564890586612	12050662												
P9503_128_MRG_STAT				0.01706318	137384.0	28346076.0	74.95559555268537	61.37516732484234	0.15209762721989845	37817158.0					
P9503_128_S28_L001				0.01696004	46856.0	9391421.0	75.09768818880109	61.56904351536423	0.15604201827564373	12505606.0					
P9503_128_S28_L001_R1_001											64.5873594578805	40.0	126.0	18.181818181818183	6806368.0
P9503_128_S28_L001_R2_001											64.36476134128864	40.0	126.0	18.181818181818183	6806368.0
P9503_128_S28_L002				0.01700921	45675.0	9436968.0	75.12633877707248	61.59554332202043	0.15257775686018765	12561464.0					
P9503_128_S28_L002_R1_001											64.87381108100443	40.0	126.0	18.181818181818183	6841172.0
P9503_128_S28_L002_R2_001											64.09826068992092	40.0	126.0	18.181818181818183	6841172.0
P9503_128_S28_L003				0.01721843	44853.0	9517687.0	74.64801027255655	60.967892927484115	0.1477558429400644	12750088.0					
P9503_128_S28_L003_R1_001											64.66538844474539	40.0	126.0	18.181818181818183	6941762.0
P9503_128_S28_L003_R2_001											64.18405087430891	40.0	126.0	18.181818181818183	6941762.0
P9503_129		61.124781438000774	12565480												
P9503_129_MRG_STAT				0.01722208	124221.0	30319600.0	73.85779555931452	59.94268150208081	0.13596395925880095	41051320.0					
P9503_129_S29_L001				0.01712805	40920.0	10070314.0	74.01287034128498	60.15059642811943	0.13389517664270742	13606166.0					
P9503_129_S29_L001_R1_001											64.48619430173395	39.0	126.0	18.181818181818183	7394866.0
P9503_129_S29_L001_R2_001											63.8734712493922	39.0	126.0	18.181818181818183	7394866.0
P9503_129_S29_L002				0.01716518	42225.0	10079648.0	74.01694283489503	60.15101452280756	0.13728860008218519	13618028.0					
P9503_129_S29_L002_R1_001											65.03648301670064	39.0	126.0	27.27272727272727	7404301.0
P9503_129_S29_L002_R2_001											63.70464544770923	39.0	126.0	18.181818181818183	7404301.0
P9503_129_S29_L003				0.01737153	41076.0	10169638.0	73.54845829856473	59.532906549054374	0.13669507314824497	13827126.0					
P9503_129_S29_L003_R1_001											64.88273473946526	39.0	126.0	27.27272727272727	7515534.0
P9503_129_S29_L003_R2_001											63.85055923715141	39.0	126.0	18.181818181818183	7515534.0
P9503_130		61.17571237337165	11884260												
P9503_130_MRG_STAT				0.01714877	108970.0	28592846.0	73.70161708812371	60.17496605010923	0.12667219515544775	38795412.0					
P9503_130_S30_L001				0.01705421	36368.0	9491786.0	73.85263623753261	60.37855231252974	0.12629614610017856	12852332.0					
P9503_130_S30_L001_R1_001											63.86592673454021	39.0	126.0	18.181818181818183	6935187.0
P9503_130_S30_L001_R2_001											62.32426262064764	39.0	126.0	18.181818181818183	6935187.0
P9503_130_S30_L002				0.01709148	36189.0	9531033.0	73.86928305578905	60.39283968785744	0.12626170639235637	12902566.0					
P9503_130_S30_L002_R1_001											63.71407983093742	39.0	126.0	18.181818181818183	6963693.0
P9503_130_S30_L002_R2_001											62.179905358812036	39.0	126.0	18.181818181818183	6963693.0
P9503_130_S30_L003				0.01729958	36413.0	9570027.0	73.38688490346316	59.758748773246204	0.12744896405157036	13040514.0					
P9503_130_S30_L003_R1_001											63.68062308180585	39.0	126.0	18.181818181818183	7038717.0
P9503_130_S30_L003_R2_001											62.18827829308519	39.0	126.0	18.181818181818183	7038717.0
P9503_131		67.76352490692709	13285262												
P9503_131_MRG_STAT				0.01547741	147775.0	30668742.0	78.3394912521315	66.12013924004461	0.1519725860306094	39148508.0					
P9503_131_S31_L001				0.01536935	50769.0	10202706.0	78.46308814020433	66.27672651453581	0.1577458827032624	13003192.0					
P9503_131_S31_L001_R1_001											67.49539629379794	40.0	126.0	18.181818181818183	7044391.0
P9503_131_S31_L001_R2_001											65.97076871887154	39.0	126.0	18.181818181818183	7044391.0
P9503_131_S31_L002				0.01541017	46539.0	10212637.0	78.48868594525318	66.32224589681641	0.14108176055772986	13011604.0					
P9503_131_S31_L002_R1_001											67.6576148277032	40.0	126.0	18.181818181818183	7053628.0
P9503_131_S31_L002_R2_001											65.85922201045611	39.0	126.0	18.181818181818183	7053628.0
P9503_131_S31_L003				0.01565185	50467.0	10253399.0	78.06931505731205	65.7648804846642	0.15704623338778861	13133712.0					
P9503_131_S31_L003_R1_001											67.42839334463343	40.0	126.0	18.181818181818183	7118323.0
P9503_131_S31_L003_R2_001											65.69406276377995	39.0	126.0	18.181818181818183	7118323.0
P9503_132		67.89167471678229	11132388												
P9503_132_MRG_STAT				0.01556717	118139.0	25706933.0	78.50749254227267	66.33918427977045	0.14704732633451176	32744560.0					
P9503_132_S32_L001				0.01546782	39478.0	8518443.0	78.61289509277279	66.47582636146984	0.14494363938657445	10835936.0					
P9503_132_S32_L001_R1_001											66.03304239212177	39.0	126.0	18.181818181818183	5865767.0
P9503_132_S32_L001_R2_001											64.84178561895828	39.0	126.0	18.181818181818183	5865767.0
P9503_132_S32_L002				0.0155034	38895.0	8568982.0	78.66506147619994	66.54319895095895	0.14413849045753802	10892996.0					
P9503_132_S32_L002_R1_001											66.2087528469681	39.0	126.0	18.181818181818183	5900955.0
P9503_132_S32_L002_R2_001											64.63940573402351	39.0	126.0	18.181818181818183	5900955.0
P9503_132_S32_L003				0.01572871	39766.0	8619508.0	78.24799457643267	66.00302769846621	0.15199315009548253	11015628.0					
P9503_132_S32_L003_R1_001											63.1863735944239	39.0	126.0	18.181818181818183	5965983.0
P9503_132_S32_L003_R2_001											64.41348219660057	39.0	126.0	18.181818181818183	5965983.0
P9503_133		69.42734488053588	16545468												
P9503_133_MRG_STAT				0.01540156	181892.0	37935117.0	79.71988157068634	67.49160395780935	0.15113632475898758	47585516.0					
P9503_133_S33_L001				0.01530611	60151.0	12594485.0	79.83945116389697	67.65086311275401	0.1525157523751227	15774764.0					
P9503_133_S33_L001_R1_001											70.1436836745263	40.0	126.0	18.181818181818183	8492621.0
P9503_133_S33_L001_R2_001											70.17063532043586	40.0	126.0	18.181818181818183	8492621.0
P9503_133_S33_L002				0.01533375	61214.0	12617429.0	79.85881350686438	67.68475544109465	0.14857272335434854	15799670.0					
P9503_133_S33_L002_R1_001											70.49087904701153	40.0	126.0	18.181818181818183	8512112.0
P9503_133_S33_L002_R2_001											69.93133659399257	40.0	126.0	18.181818181818183	8512112.0
P9503_133_S33_L003				0.01556322	60527.0	12723203.0	79.46497931869939	67.14409432167045	0.15230700835833583	16011082.0					
P9503_133_S33_L003_R1_001											70.0372761433004	40.0	126.0	18.181818181818183	8625488.0
P9503_133_S33_L003_R2_001											69.9450523751301	40.0	126.0	18.181818181818183	8625488.0
P9503_134		71.54683308298992	18557130												
P9503_134_MRG_STAT				0.01482216	243160.0	42079954.0	81.25839812642029	69.4485082270356	0.1846969877200815	51785360.0					
P9503_134_S34_L001				0.01471074	82193.0	13989569.0	81.39104312554957	69.63776204621641	0.18060757638397837	17188094.0					
P9503_134_S34_L001_R1_001											73.78437287878614	40.0	126.0	18.181818181818183	9252504.0
P9503_134_S34_L001_R2_001											73.26865155917122	40.0	126.0	18.181818181818183	9252504.0
P9503_134_S34_L002				0.01475985	77591.0	13997266.0	81.38100540521935	69.61947879006065	0.17970110127681505	17199672.0					
P9503_134_S34_L002_R1_001											74.05277038740634	40.0	126.0	18.181818181818183	9265413.0
P9503_134_S34_L002_R2_001											73.48162669966615	40.0	126.0	18.181818181818183	9265413.0
P9503_134_S34_L003				0.0149946	83376.0	14093119.0	81.00613797517059	69.09250784907385	0.1936762060317076	17397594.0					
P9503_134_S34_L003_R1_001											73.86302079621312	40.0	126.0	18.181818181818183	9367266.0
P9503_134_S34_L003_R2_001											73.38568268370868	40.0	126.0	18.181818181818183	9367266.0
P9503_135		71.25188321876527	18198239												
P9503_135_MRG_STAT				0.01488306	244357.0	41432140.0	81.22939863784767	69.62342874422504	0.18795312017706978	51006336.0					
P9503_135_S35_L001				0.01478243	84288.0	13771251.0	81.36011714792583	69.80030830142834	0.19635133318035633	16926292.0					
P9503_135_S35_L001_R1_001											73.26854998030245	40.0	126.0	18.181818181818183	9044621.0
P9503_135_S35_L001_R2_001											73.06209786886151	40.0	126.0	18.181818181818183	9044621.0
P9503_135_S35_L002				0.0148146	80042.0	13768667.0	81.37639903237228	69.8257596309161	0.18376770787713517	16919730.0					
P9503_135_S35_L002_R1_001											73.62708604105642	40.0	126.0	18.181818181818183	9047944.0
P9503_135_S35_L002_R2_001											73.12816698783989	40.0	126.0	18.181818181818183	9047944.0
P9503_135_S35_L003				0.01505061	80027.0	13892222.0	80.95552330802337	69.24946711348056	0.18379617062951178	17160314.0					
P9503_135_S35_L003_R1_001											73.06989618322329	40.0	126.0	18.181818181818183	9171752.0
P9503_135_S35_L003_R2_001											72.69712222950226	40.0	126.0	18.181818181818183	9171752.0
P9503_136		72.19092185605479	17174678												
P9503_136_MRG_STAT				0.01467971	225542.0	38856969.0	81.7916612727531	70.283163096159	0.18416767966994513	47507250.0					
P9503_136_S36_L001				0.0145706	79635.0	12874183.0	81.91597299318263	70.45073123951092	0.1983224071169805	15716328.0					
P9503_136_S36_L001_R1_001											73.03376241268703	40.0	126.0	18.181818181818183	8478417.0
P9503_136_S36_L001_R2_001											72.98286108393255	40.0	126.0	18.181818181818183	8478417.0
P9503_136_S36_L002				0.01461717	77275.0	12944810.0	81.93506824288126	70.48283977886005	0.18815909802122482	15798864.0					
P9503_136_S36_L002_R1_001											73.72013502464658	40.0	126.0	18.181818181818183	8529128.0
P9503_136_S36_L002_R2_001											72.97615264604761	40.0	126.0	18.181818181818183	8529128.0
P9503_136_S36_L003				0.01484946	68632.0	13037976.0	81.52781837084383	69.9212196454015	0.1663138040144677	15992058.0					
P9503_136_S36_L003_R1_001											73.37443146575887	40.0	126.0	18.181818181818183	8632672.0
P9503_136_S36_L003_R2_001											72.66873839392231	40.0	126.0	18.181818181818183	8632672.0
P9503_137		67.37152451542005	15302665												
P9503_137_MRG_STAT				0.0157698	188041.0	35547883.0	78.39144105898215	65.39672908055499	0.1636262428098859	45346638.0					
P9503_137_S37_L001				0.0156671	60019.0	11788955.0	78.48381525602305	65.55938089887447	0.15820650649223206	15020874.0					
P9503_137_S37_L001_R1_001											68.13031610515866	40.0	126.0	18.181818181818183	8245323.0
P9503_137_S37_L001_R2_001											67.20790455265544	39.0	126.0	18.181818181818183	8245323.0
P9503_137_S37_L002				0.01570676	65817.0	11834703.0	78.55441252569095	65.60155671073966	0.1695915174239188	15065612.0					
P9503_137_S37_L002_R1_001											68.63227016495148	40.0	126.0	27.27272727272727	8275547.0
P9503_137_S37_L002_R2_001											66.92806769260649	39.0	126.0	18.181818181818183	8275547.0
P9503_137_S37_L003				0.01593381	62205.0	11924225.0	78.13962141399378	65.0344111906618	0.16307177018944505	15260152.0					
P9503_137_S37_L003_R1_001											68.32101708760632	40.0	126.0	27.27272727272727	8376622.0
P9503_137_S37_L003_R2_001											67.04645782161266	39.0	126.0	18.181818181818183	8376622.0
P9503_138		66.97691655894559	13536286												
P9503_138_MRG_STAT				0.01577481	144572.0	31675199.0	78.46200815405258	65.96059312199051	0.14880811570738844	40370110.0					
P9503_138_S38_L001				0.01567464	46739.0	10521688.0	78.60140629122738	66.14258696985806	0.14465717206434242	13386132.0					
P9503_138_S38_L001_R1_001											66.51091753709665	39.0	126.0	18.181818181818183	7173431.0
P9503_138_S38_L001_R2_001											65.29949771741519	39.0	126.0	18.181818181818183	7173431.0
P9503_138_S38_L002				0.01571774	47022.0	10543583.0	78.6053895131611	66.16691423174656	0.1463844713026794	13413308.0					
P9503_138_S38_L002_R1_001											66.58946461841421	39.0	126.0	18.181818181818183	7190826.0
P9503_138_S38_L002_R2_001											65.25398920581175	39.0	126.0	18.181818181818183	7190826.0
P9503_138_S38_L003				0.01593081	50811.0	10609928.0	78.18278684840175	65.57714541728595	0.15529815403366232	13570670.0					
P9503_138_S38_L003_R1_001											66.50590863156089	39.0	126.0	18.181818181818183	7274943.0
P9503_138_S38_L003_R2_001											65.24237805758744	39.0	126.0	18.181818181818183	7274943.0
P9503_139		65.79509615357644	14777070												
P9503_139_MRG_STAT				0.01585314	166295.0	34379739.0	76.65417076770336	64.247483102064	0.1502259241646817	44850448.0					
P9503_139_S39_L001				0.01575325	54670.0	11448890.0	76.78835279385795	64.4412652996344	0.14880946392509023	14909670.0					
P9503_139_S39_L001_R1_001											67.10196744432895	40.0	126.0	18.181818181818183	8131872.0
P9503_139_S39_L001_R2_001											65.35861408780826	39.0	126.0	18.181818181818183	8131872.0
P9503_139_S39_L002				0.01578964	57462.0	11446814.0	76.79012723338661	64.42350252122849	0.15190564300885875	14906622.0					
P9503_139_S39_L002_R1_001											67.52651305261223	40.0	126.0	18.181818181818183	8135347.0
P9503_139_S39_L002_R2_001											65.26226733660786	39.0	126.0	18.181818181818183	8135347.0
P9503_139_S39_L003				0.01601597	54163.0	11484035.0	76.3862966434564	63.88077920702698	0.14996518594060088	15034156.0					
P9503_139_S39_L003_R1_001											66.9423901043371	40.0	126.0	18.181818181818183	8200553.0
P9503_139_S39_L003_R2_001											65.05119198988254	39.0	126.0	18.181818181818183	8200553.0
