Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
P9503_124_MRG_STAT	33557468.0	0.0	33557468.0	1.0	16778734.0	16778734.0	24349387.0	21807094.0	9208081.0	20786498.0	33557468.0	0.0	45217.0	0.0	116904.0	0.0	3771188005.0	1894619222.0	1876568783.0	2739463935.0	2726286654.0	0.0	0.0	41203751.0	0.01511351	112.0	113.0	112.0	114.0	114.0	114.0	35.6	217.0	75.0	10389133.0	487141.0	1573.0	25700.0	61.9	72.56026288991768	64.98432480066732	27.439737110082323	61.94298687850943	100.0	0.0	0.13474496943571548	0.0
P9503_124_S24_L001	11097656.0	0.0	11097656.0	1.0	5548828.0	5548828.0	8064931.0	7230206.0	3032725.0	6890880.0	11097656.0	0.0	15182.0	0.0	38922.0	0.0	1247859585.0	626871320.0	620988265.0	907831782.0	903476732.0	0.0	0.0	13569062.0	0.01501872	112.0	113.0	112.0	114.0	114.0	114.0	35.6	217.0	75.1	3443922.0	162016.0	514.0	8651.0	62.1	72.6723823481283	65.15074895094965	27.327617651871712	62.09311227524083	100.0	0.0	0.13680366376467246	0.0
P9503_124_S24_L002	11181224.0	0.0	11181224.0	1.0	5590612.0	5590612.0	8123865.0	7281860.0	3057359.0	6941680.0	11181224.0	0.0	14548.0	0.0	38079.0	0.0	1255380004.0	630904524.0	624475480.0	913177901.0	908804303.0	0.0	0.0	13668648.0	0.01504026	112.0	113.0	112.0	114.0	114.0	114.0	35.5	217.0	75.0	3469826.0	162119.0	535.0	8450.0	62.1	72.65631204597994	65.12578587102807	27.343687954020062	62.083364039572054	100.0	0.0	0.13011097890535062	0.0
P9503_124_S24_L003	11278588.0	0.0	11278588.0	1.0	5639294.0	5639294.0	8160591.0	7295028.0	3117997.0	6953938.0	11278588.0	0.0	15487.0	0.0	39903.0	0.0	1267948416.0	636843378.0	631105038.0	918454252.0	914005619.0	0.0	0.0	13966041.0	0.01528004	112.0	113.0	112.0	114.0	114.0	114.0	35.6	217.0	75.0	3475385.0	163006.0	524.0	8599.0	61.7	72.3547220627263	64.6803305520159	27.64527793727371	61.65610446981484	100.0	0.0	0.13731328779808252	0.0
P9503_125_MRG_STAT	46917366.0	0.0	46917366.0	1.0	23458683.0	23458683.0	37750225.0	33722346.0	9167141.0	32099378.0	46917366.0	0.0	68076.0	0.0	171897.0	0.0	5279847083.0	2645676229.0	2634170854.0	4251831292.0	4231126364.0	0.0	0.0	64886846.0	0.0153356	112.0	113.0	112.0	114.0	114.0	114.0	35.6	209.1	70.1	16041825.0	756564.0	3651.0	59133.0	68.4	80.4610919547359	71.87604265763768	19.53890804526409	68.41683738170639	100.0	0.0	0.1450976595744953	0.0
P9503_125_S25_L001	15547444.0	0.0	15547444.0	1.0	7773722.0	7773722.0	12530245.0	11207006.0	3017199.0	10666014.0	15547444.0	0.0	22513.0	0.0	56921.0	0.0	1750584028.0	877210311.0	873373717.0	1412014334.0	1405162924.0	0.0	0.0	21403819.0	0.01523227	112.0	113.0	112.0	114.0	114.0	114.0	35.7	209.0	70.0	5329955.0	252518.0	1216.0	19814.0	68.6	80.59360110896685	72.0826265719304	19.40639889103315	68.60300638484371	100.0	0.0	0.14480193657555543	0.0
P9503_125_S25_L002	15582220.0	0.0	15582220.0	1.0	7791110.0	7791110.0	12561024.0	11230586.0	3021196.0	10691506.0	15582220.0	0.0	22391.0	0.0	55937.0	0.0	1751993648.0	878078908.0	873914740.0	1413572645.0	1406714955.0	0.0	0.0	21479851.0	0.01526951	112.0	113.0	112.0	114.0	114.0	114.0	35.5	209.1	70.1	5343567.0	250973.0	1216.0	19537.0	68.6	80.61126078312333	72.07308072919007	19.388739216876672	68.61349666478846	100.0	0.0	0.14369582768052305	0.0
P9503_125_S25_L003	15787702.0	0.0	15787702.0	1.0	7893851.0	7893851.0	12658956.0	11284754.0	3128746.0	10741858.0	15787702.0	0.0	23172.0	0.0	59039.0	0.0	1777269407.0	890387010.0	886882397.0	1426244313.0	1419248485.0	0.0	0.0	22003176.0	0.0155034	112.0	113.0	112.0	114.0	114.0	114.0	35.6	209.2	70.2	5368303.0	253073.0	1219.0	19782.0	68.0	80.18238499814603	71.47812898926013	19.817615001853977	68.03940180781218	100.0	0.0	0.14677246884948802	0.0
P9503_126_MRG_STAT	50829522.0	0.0	50829522.0	1.0	25414761.0	25414761.0	40811012.0	36401102.0	10018510.0	34620034.0	50829522.0	0.0	76181.0	0.0	192837.0	0.0	5719638534.0	2868384363.0	2851254171.0	4596125564.0	4573632321.0	0.0	0.0	70245893.0	0.01535888	112.0	113.0	112.0	114.0	114.0	114.0	35.6	208.8	68.5	17302578.0	823094.0	4469.0	70410.0	68.1	80.28997793841145	71.61409465939892	19.71002206158854	68.11009161172123	100.0	0.0	0.14987549951778023	0.0
P9503_126_S26_L001	16869498.0	0.0	16869498.0	1.0	8434749.0	8434749.0	13565456.0	12112774.0	3304042.0	11518714.0	16869498.0	0.0	24371.0	0.0	63256.0	0.0	1899228793.0	952450597.0	946778196.0	1528474747.0	1521011748.0	0.0	0.0	23199864.0	0.01525292	112.0	113.0	112.0	114.0	114.0	114.0	35.6	208.8	68.5	5756219.0	275307.0	1518.0	23343.0	68.3	80.41410597991712	71.80281238955658	19.585894020082875	68.28130866727629	100.0	0.0	0.144467843678573	0.0
