Sample	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate	HTSeq Count_mqc-generalstats-htseq_count-percent_assigned	HTSeq Count_mqc-generalstats-htseq_count-assigned	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P9503_102_S2_L002_R2_001											67.16591335658572	41.0	126.0	18.181818181818183	7393440.0
P9503_102_S2_L003				0.001144319	1623122.0	13962749.0	99.43564291002505	95.15603052443542	0.025580408939014084	14041996.0					
P9503_102_S2_L003_R1_001											67.56586634014414	41.0	126.0	18.181818181818183	7490825.0
P9503_102_S2_L003_R2_001											66.91368464802966	41.0	126.0	18.181818181818183	7490825.0
P9503_103		90.65883859419476	18210970												
P9503_103_MRG_STAT				0.0008582912	4630783.0	39869622.0	99.41280808164225	95.23235888408851	0.023934602258724298	40105116.0					
P9503_103_S3_L001				0.0007109634	1543420.0	13226590.0	99.41548467283948	95.2367630571521	0.022789528482250476	13304356.0					
P9503_103_S3_L001_R1_001											66.69687193023846	41.0	126.0	18.181818181818183	7088253.0
P9503_103_S3_L001_R2_001											66.51415254017098	41.0	126.0	18.181818181818183	7088253.0
P9503_103_S3_L002				0.0007390967	1536896.0	13210402.0	99.41185492060161	95.24271933794472	0.022688692031144386	13288558.0					
P9503_103_S3_L002_R1_001											67.13046116513155	41.0	126.0	18.181818181818183	7082649.0
P9503_103_S3_L002_R2_001											66.3387343924995	41.0	126.0	18.181818181818183	7082649.0
P9503_103_S3_L003				0.001120462	1550467.0	13432630.0	99.41111004705229	95.21783348117502	0.02628735124001255	13512202.0					
P9503_103_S3_L003_R1_001											66.63766963885747	41.0	126.0	18.181818181818183	7202025.0
P9503_103_S3_L003_R2_001											66.4455889805142	41.0	126.0	18.181818181818183	7202025.0
P9503_104		90.78634495115101	19769718												
P9503_104_MRG_STAT				0.0009145397	4990124.0	43192147.0	99.37993363250598	94.65442144633388	0.02507958857878297	43461638.0					
P9503_104_S4_L001				0.0007628915	1647765.0	14286488.0	99.38198288317555	94.63592140145653	0.023289900127510116	14375330.0					
P9503_104_S4_L001_R1_001											68.04091604174579	41.0	126.0	18.181818181818183	7734258.0
P9503_104_S4_L001_R2_001											67.77850352318924	41.0	126.0	18.181818181818183	7734258.0
P9503_104_S4_L002				0.0008001332	1668326.0	14338326.0	99.38084190529632	94.67451954773527	0.024168860139166057	14427656.0					
P9503_104_S4_L002_R1_001											68.54602631529237	42.0	126.0	18.181818181818183	7766557.0
P9503_104_S4_L002_R2_001											67.49174399353033	41.0	126.0	18.181818181818183	7766557.0
P9503_104_S4_L003				0.001175724	1674033.0	14567333.0	99.37703002977354	94.6527825341648	0.02773106285625718	14658652.0					
P9503_104_S4_L003_R1_001											68.25882506977908	42.0	126.0	18.181818181818183	7888666.0
P9503_104_S4_L003_R2_001											67.64693560321732	41.0	126.0	18.181818181818183	7888666.0
P9503_105		89.18052917372201	17091559												
P9503_105_MRG_STAT				0.0009914591	4363497.0	37963212.0	99.2356884497236	93.87954245866827	0.03001913131472189	38255604.0					
P9503_105_S5_L001				0.0008452521	1460269.0	12576649.0	99.23711459622457	93.88557010895003	0.02831930860802826	12673332.0					
P9503_105_S5_L001_R1_001											67.04004030386892	41.0	126.0	27.27272727272727	6879926.0
P9503_105_S5_L001_R2_001											66.66409722223025	41.0	126.0	18.181818181818183	6879926.0
P9503_105_S5_L002				0.0008737525	1451515.0	12588209.0	99.23624519238804	93.87898802783614	0.02871875111351183	12685092.0					
P9503_105_S5_L002_R1_001											67.48273843216379	41.0	126.0	27.27272727272727	6890362.0
P9503_105_S5_L002_R2_001											66.4318819607573	41.0	126.0	18.181818181818183	6890362.0
P9503_105_S5_L003				0.001250764	1451713.0	12798354.0	99.23373946862803	93.87416473988888	0.03296844736601335	12897180.0					
P9503_105_S5_L003_R1_001											67.17730442644316	41.0	126.0	27.27272727272727	7003860.0
P9503_105_S5_L003_R2_001											66.50490835111074	41.0	126.0	18.181818181818183	7003860.0
P9503_106		89.32389567523082	16161920												
P9503_106_MRG_STAT				0.0009530768	4122355.0	35859215.0	99.28980759783569	94.47059404016635	0.02613544367649908	36115706.0					
P9503_106_S6_L001				0.0008046582	1369398.0	11888163.0	99.29075070228367	94.46291272372477	0.023970436350473502	11973082.0					
P9503_106_S6_L001_R1_001											66.10948157549896	40.0	126.0	18.181818181818183	6477407.0
P9503_106_S6_L001_R2_001											65.41084837350955	40.0	126.0	18.181818181818183	6477407.0
P9503_106_S6_L002				0.0008347785	1380450.0	11915303.0	99.29227201607435	94.48390664447153	0.02469118930367346	12000232.0					
P9503_106_S6_L002_R1_001											66.14157161517076	40.0	126.0	18.181818181818183	6493121.0
P9503_106_S6_L002_R2_001											65.1994658724806	40.0	126.0	18.181818181818183	6493121.0
P9503_106_S6_L003				0.001216253	1372507.0	12055749.0	99.2864420782989	94.46501150679372	0.02969760818132045	12142392.0					
P9503_106_S6_L003_R1_001											65.59909127243678	40.0	126.0	18.181818181818183	6570980.0
P9503_106_S6_L003_R2_001											65.2379767969803	40.0	126.0	18.181818181818183	6570980.0
P9503_107		89.93946022240232	15764719												
P9503_107_MRG_STAT				0.0009915623	5016843.0	34731277.0	99.27591842283492	94.24455804746512	0.0305420151510119	34984594.0					
P9503_107_S7_L001				0.0008444601	1669684.0	11538822.0	99.28319507697815	94.24217419698454	0.028781299125031298	11622130.0					
P9503_107_S7_L001_R1_001											65.65008171047094	41.0	126.0	18.181818181818183	6341598.0
P9503_107_S7_L001_R2_001											64.23550368837994	41.0	126.0	18.181818181818183	6341598.0
P9503_107_S7_L002				0.0008744626	1676400.0	11533639.0	99.27356912992867	94.24854596766613	0.029634957233735548	11618036.0					
P9503_107_S7_L002_R1_001											65.88177464376642	41.0	126.0	18.181818181818183	6342204.0
P9503_107_S7_L002_R2_001											64.06427900416453	41.0	126.0	18.181818181818183	6342204.0
P9503_107_S7_L003				0.001252844	1670759.0	11658816.0	99.27104155264097	94.24297207152192	0.033181692629049284	11744428.0					
P9503_107_S7_L003_R1_001											64.60201855152465	41.0	126.0	18.181818181818183	6408924.0
P9503_107_S7_L003_R2_001											64.00791758573158	41.0	126.0	18.181818181818183	6408924.0
P9503_108		88.98867689358207	13134096												
P9503_108_MRG_STAT				0.001004645	4303344.0	28830952.0	97.83797765024082	93.86911753736877	0.029465803277569227	29468058.0					
P9503_108_S8_L001				0.0008558869	1428618.0	9549496.0	97.84552255750341	93.87048954442359	0.02807443783499772	9759768.0					
P9503_108_S8_L001_R1_001											62.47391172549087	41.0	126.0	18.181818181818183	5296800.0
P9503_108_S8_L001_R2_001											61.278659418366146	41.0	126.0	18.181818181818183	5296800.0
P9503_108_S8_L002				0.0008896982	1437883.0	9571979.0	97.83478232428642	93.86881606570849	0.028771992943451532	9783820.0					
P9503_108_S8_L002_R1_001											62.80536458003042	41.0	126.0	18.181818181818183	5314141.0
P9503_108_S8_L002_R2_001											61.023136985967916	41.0	126.0	18.181818181818183	5314141.0
P9503_108_S8_L003				0.001264136	1436843.0	9709477.0	97.83370799649754	93.86806549871177	0.03151805587603167	9924470.0					
P9503_108_S8_L003_R1_001											58.221665996185074	41.0	126.0	18.181818181818183	5388018.0
P9503_108_S8_L003_R2_001											60.8977222897738	41.0	126.0	18.181818181818183	5388018.0
P9503_109		91.08021782325308	19778103												
P9503_109_MRG_STAT				0.000841164	6195000.0	43074305.0	99.38154954013113	95.00354803047624	0.02236611226210223	43342356.0					
P9503_109_S9_L001				0.0006945882	2054571.0	14260860.0	99.38924600728132	95.01044499861797	0.02051086337005124	14348494.0					
P9503_109_S9_L001_R1_001											67.63266261135497	42.0	126.0	18.181818181818183	7688651.0
P9503_109_S9_L001_R2_001											67.64213479298157	41.0	126.0	18.181818181818183	7688651.0
P9503_109_S9_L002				0.0007217297	2073583.0	14319487.0	99.3781908690379	95.00413766759912	0.02168770756003643	14409084.0					
P9503_109_S9_L002_R1_001											67.89676058206436	42.0	126.0	18.181818181818183	7724221.0
P9503_109_S9_L002_R2_001											67.60167313977354	41.0	126.0	18.181818181818183	7724221.0
P9503_109_S9_L003				0.001103263	2066846.0	14493958.0	99.3772959725544	94.99618026410823	0.02486153714509744	14584778.0					
P9503_109_S9_L003_R1_001											67.46886597386585	42.0	126.0	18.181818181818183	7816955.0
P9503_109_S9_L003_R2_001											67.38827337692499	41.0	126.0	18.181818181818183	7816955.0
P9503_110		89.40734445193792	19095474												
P9503_110_MRG_STAT				0.0008455886	8857593.0	42310836.0	99.30263747851106	93.80606463091598	0.030128167576543432	42607968.0					
P9503_110_S10_L001				0.0007012592	2951223.0	14022761.0	99.30846899041444	93.80455578903953	0.028377366999593784	14120408.0					
P9503_110_S10_L001_R1_001											65.48642187419071	41.0	126.0	18.181818181818183	7669175.0
P9503_110_S10_L001_R2_001											65.26496231002722	41.0	126.0	18.181818181818183	7669175.0
P9503_110_S10_L002				0.0007267504	2962631.0	14078909.0	99.30238197476959	93.81330664751187	0.0290171631512216	14177816.0					
P9503_110_S10_L002_R1_001											65.69082734895483	41.0	126.0	27.27272727272727	7703563.0
P9503_110_S10_L002_R2_001											65.195593097935	41.0	126.0	18.181818181818183	7703563.0
P9503_110_S10_L003				0.001105634	2943739.0	14209166.0	99.29713627301788	93.80037825973686	0.03295656442211685	14309744.0					
P9503_110_S10_L003_R1_001											65.78472677909198	41.0	126.0	18.181818181818183	7773666.0
P9503_110_S10_L003_R2_001											65.44710497290718	41.0	126.0	18.181818181818183	7773666.0
P9503_111		89.47074552878918	16517690												
P9503_111_MRG_STAT				0.0008334884	7577456.0	36548258.0	99.2520788938202	93.22252236129641	0.03075467491426031	36823670.0					
P9503_111_S11_L001				0.0006872441	2527003.0	12115253.0	99.24895952562036	93.19527625778534	0.02825443772440118	12206932.0					
P9503_111_S11_L001_R1_001											63.55007435368843	42.0	126.0	18.181818181818183	6706360.0
P9503_111_S11_L001_R2_001											62.94403858748853	41.0	126.0	18.181818181818183	6706360.0
P9503_111_S11_L002				0.0007141567	2525762.0	12130344.0	99.25582336139256	93.2459677749292	0.030831437461767544	12221292.0					
P9503_111_S11_L002_R1_001											63.90703341343843	42.0	126.0	18.181818181818183	6717387.0
P9503_111_S11_L002_R2_001											63.25657409233412	41.0	126.0	18.181818181818183	6717387.0
P9503_111_S11_L003				0.001095034	2524691.0	12302661.0	99.25145896323538	93.22623808776224	0.03314120363236627	12395446.0					
P9503_111_S11_L003_R1_001											63.54405806305131	42.0	126.0	18.181818181818183	6813299.0
P9503_111_S11_L003_R2_001											63.05757887643791	41.0	126.0	18.181818181818183	6813299.0
P9503_112		89.54592207222919	16440334												
P9503_112_MRG_STAT				0.0009079953	7388848.0	36351868.0	99.25391105843082	93.45387062716838	0.03325859046920906	36625124.0					
P9503_112_S12_L001				0.0007584697	2450854.0	12021296.0	99.25871148999667	93.43533034312233	0.029526695980884934	12111074.0					
P9503_112_S12_L001_R1_001											63.427500863865355	42.0	126.0	18.181818181818183	6628799.0
P9503_112_S12_L001_R2_001											63.03957823635066	41.0	126.0	18.181818181818183	6628799.0
P9503_112_S12_L002				0.0007905384	2471833.0	12086356.0	99.25523809304818	93.47101094961783	0.03285690141927689	12177046.0					
P9503_112_S12_L002_R1_001											63.582661473931864	42.0	126.0	18.181818181818183	6671146.0
P9503_112_S12_L002_R2_001											62.86801226834426	41.0	126.0	18.181818181818183	6671146.0
P9503_112_S12_L003				0.001170604	2466161.0	12244216.0	99.2478887094468	93.45515329329552	0.03731862290066535	12337004.0					
P9503_112_S12_L003_R1_001											63.609213930202365	42.0	126.0	18.181818181818183	6755483.0
P9503_112_S12_L003_R2_001											62.78770988717245	41.0	126.0	18.181818181818183	6755483.0
P9503_113		89.07220047784281	17176831												
P9503_113_MRG_STAT				0.0009879583	6281316.0	38202908.0	99.27917887919844	93.67669914685138	0.03269986430972621	38480282.0					
P9503_113_S13_L001				0.0008401214	2097173.0	12643119.0	99.28325592615651	93.66297189532095	0.03070425348929105	12734392.0					
P9503_113_S13_L001_R1_001											64.04749126554569	41.0	126.0	27.27272727272727	7036958.0
P9503_113_S13_L001_R2_001											63.58866791945853	41.0	126.0	18.181818181818183	7036958.0
P9503_113_S13_L002				0.0008702878	2092264.0	12700363.0	99.27670001799437	93.68261786582457	0.032064675905233014	12792894.0					
P9503_113_S13_L002_R1_001											64.54676236662667	41.0	126.0	27.27272727272727	7072541.0
P9503_113_S13_L002_R2_001											63.494381005305286	41.0	126.0	18.181818181818183	7072541.0
P9503_113_S13_L003				0.00124937	2091879.0	12859426.0	99.27761886130436	93.68434916524332	0.03528913310866459	12952996.0					
P9503_113_S13_L003_R1_001											64.26348098294369	41.0	126.0	27.27272727272727	7159434.0
P9503_113_S13_L003_R2_001											63.408006694407796	41.0	126.0	18.181818181818183	7159434.0
P9503_114		88.50643585850875	16831376												
P9503_114_MRG_STAT				0.0009480255	6096952.0	37416519.0	98.56708013722277	93.78797866053368	0.03040005150622245	37960462.0					
P9503_114_S14_L001				0.000801439	2025450.0	12391610.0	98.56762228512902	93.7900602655937	0.02830965207206926	12571684.0					
P9503_114_S14_L001_R1_001											63.49471248213503	40.0	126.0	18.181818181818183	6843141.0
P9503_114_S14_L001_R2_001											62.42243592119845	41.0	126.0	18.181818181818183	6843141.0
P9503_114_S14_L002				0.0008277697	2042366.0	12448145.0	98.56779838305718	93.78722874573462	0.029416380592695333	12629018.0					
P9503_114_S14_L002_R1_001											63.49229417073852	40.0	126.0	18.181818181818183	6876704.0
P9503_114_S14_L002_R2_001											62.53939881060207	41.0	126.0	18.181818181818183	6876704.0
P9503_114_S14_L003				0.001211369	2029136.0	12576764.0	98.565835094077	93.78666996871414	0.03343323071907309	12759760.0					
P9503_114_S14_L003_R1_001											63.37444960831514	40.0	126.0	18.181818181818183	6949450.0
P9503_114_S14_L003_R2_001											62.33846871601438	41.0	126.0	18.181818181818183	6949450.0
P9503_115		88.77505431977595	16230278												
P9503_115_MRG_STAT				0.0009812448	5824406.0	35994660.0	98.63683943042366	93.94942018418998	0.03111905900963896	36492106.0					
P9503_115_S15_L001				0.0008363804	1936581.0	11936434.0	98.63447126292981	93.94029889719498	0.029235595767399685	12101686.0					
P9503_115_S15_L001_R1_001											63.461600579651126	41.0	126.0	18.181818181818183	6625535.0
P9503_115_S15_L001_R2_001											62.018947058281526	41.0	126.0	18.181818181818183	6625535.0
P9503_115_S15_L002				0.0008629756	1950151.0	11976382.0	98.6394027795394	93.95801864337261	0.030482029521693224	12141580.0					
P9503_115_S15_L002_R1_001											63.868477632424856	41.0	126.0	18.181818181818183	6648861.0
P9503_115_S15_L002_R2_001											61.91945264695979	41.0	126.0	18.181818181818183	6648861.0
P9503_115_S15_L003				0.001241463	1937674.0	12081844.0	98.63663824492768	93.9499087260508	0.033611346053993685	12248840.0					
P9503_115_S15_L003_R1_001											63.64665792318624	41.0	126.0	18.181818181818183	6708077.0
P9503_115_S15_L003_R2_001											61.87844410156431	41.0	126.0	18.181818181818183	6708077.0
P9503_116		84.43043927297533	12901834												
P9503_116_MRG_STAT				0.0009911043	4074512.0	28611371.0	93.77390448092584	89.97598113415823	0.029667973036361685	30511016.0					
P9503_116_S16_L001				0.0008435275	1356302.0	9468069.0	93.77818747933637	89.9681247609258	0.02790148172022094	10096238.0					
P9503_116_S16_L001_R1_001											57.3328383221809	41.0	126.0	18.181818181818183	5498832.0
P9503_116_S16_L001_R2_001											55.504727979381045	41.0	126.0	18.181818181818183	5498832.0
P9503_116_S16_L002				0.0008750184	1367292.0	9518174.0	93.78636766461237	90.00268209525044	0.029727705255665163	10148782.0					
P9503_116_S16_L002_R1_001											57.493486112821685	41.0	126.0	18.181818181818183	5529986.0
P9503_116_S16_L002_R2_001											55.3791261328995	41.0	126.0	18.181818181818183	5529986.0
P9503_116_S16_L003				0.001250931	1350918.0	9625128.0	93.75737142309426	89.95731149710168	0.031346203524723754	10265996.0					
P9503_116_S16_L003_R1_001											54.52604188682934	41.0	126.0	18.181818181818183	5591928.0
P9503_116_S16_L003_R2_001											55.03048334395994	41.0	126.0	18.181818181818183	5591928.0
P9503_117		90.21212628501937	22417551												
P9503_117_MRG_STAT				0.0008534816	6956249.0	49265790.0	99.30567168299582	95.3437563948481	0.022100272508212414	49610248.0					
P9503_117_S17_L001				0.0007068511	2307966.0	16289689.0	99.30781315631128	95.3378206609308	0.02101415391968533	16403230.0					
P9503_117_S17_L001_R1_001											65.8489061098143	41.0	126.0	18.181818181818183	8746991.0
P9503_117_S17_L001_R2_001											65.27833995497761	41.0	126.0	18.181818181818183	8746991.0
P9503_117_S17_L002				0.0007341384	2325222.0	16386331.0	99.30548771426972	95.3561289750179	0.021083657577644705	16500932.0					
P9503_117_S17_L002_R1_001											66.0590252074068	41.0	126.0	18.181818181818183	8803320.0
P9503_117_S17_L002_R2_001											65.08635185895997	41.0	126.0	18.181818181818183	8803320.0
P9503_117_S17_L003				0.00111523	2323061.0	16589770.0	99.30375074089766	95.33736388044453	0.02417083211471556	16706086.0					
P9503_117_S17_L003_R1_001											65.77146134258483	41.0	126.0	18.181818181818183	8913294.0
P9503_117_S17_L003_R2_001											65.1555354806966	41.0	126.0	18.181818181818183	8913294.0
P9503_118		89.72217816416345	21303564												
P9503_118_MRG_STAT				0.0008733736	6478716.0	47010340.0	99.22615137491076	93.86544085579477	0.025181013068671387	47376966.0					
P9503_118_S18_L001				0.0007282053	2156706.0	15559093.0	99.23273192411239	93.8647891793791	0.02329809132953846	15679396.0					
P9503_118_S18_L001_R1_001											65.05809683537191	41.0	126.0	18.181818181818183	8502499.0
P9503_118_S18_L001_R2_001											64.09976931816641	41.0	126.0	18.181818181818183	8502499.0
P9503_118_S18_L002				0.0007558679	2163226.0	15661395.0	99.22584756415273	93.87333067065123	0.024620517114490603	15783584.0					
P9503_118_S18_L002_R1_001											65.28339349281148	41.0	126.0	18.181818181818183	8564649.0
P9503_118_S18_L002_R2_001											64.14779940457808	41.0	126.0	18.181818181818183	8564649.0
P9503_118_S18_L003				0.001132839	2158784.0	15789852.0	99.21996915166321	93.8582577614433	0.027592081581572333	15913986.0					
P9503_118_S18_L003_R1_001											65.15605743824116	41.0	126.0	18.181818181818183	8633091.0
P9503_118_S18_L003_R2_001											64.13160430092447	41.0	126.0	18.181818181818183	8633091.0
