Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
P9503_106_MRG_STAT	36115706.0	0.0	36115706.0	1.0	18057853.0	18057853.0	35859215.0	35775730.0	256491.0	34118722.0	36115706.0	0.0	9439.0	0.0	4122355.0	0.0	4059127135.0	2032911315.0	2026215820.0	4032197556.0	4029246207.0	0.0	0.0	3840181.0	0.0009530768	112.0	113.0	112.0	114.0	114.0	114.0	35.6	219.1	76.2	17056057.0	739154.0	3940.0	88714.0	94.5	99.28980759783569	99.05864778055286	0.7101924021643105	94.47059404016635	100.0	0.0	0.02613544367649908	0.0
P9503_106_S6_L001	11973082.0	0.0	11973082.0	1.0	5986541.0	5986541.0	11888163.0	11860566.0	84919.0	11310122.0	11973082.0	0.0	2870.0	0.0	1369398.0	0.0	1346464880.0	674399858.0	672065022.0	1337538732.0	1336578688.0	0.0	0.0	1075489.0	0.0008046582	112.0	113.0	112.0	114.0	114.0	114.0	35.6	219.1	76.2	5653551.0	245967.0	1270.0	29495.0	94.5	99.29075070228367	99.06025867024046	0.7092492977163274	94.46291272372477	100.0	0.0	0.023970436350473502	0.0
P9503_106_S6_L002	12000232.0	0.0	12000232.0	1.0	6000116.0	6000116.0	11915303.0	11887750.0	84929.0	11338288.0	12000232.0	0.0	2963.0	0.0	1380450.0	0.0	1347508103.0	674967839.0	672540264.0	1338600744.0	1337633959.0	0.0	0.0	1116628.0	0.0008347785	112.0	112.0	112.0	114.0	114.0	114.0	35.5	219.1	76.1	5668580.0	244547.0	1359.0	29389.0	94.5	99.29227201607435	99.06266812174964	0.7077279839256441	94.48390664447153	100.0	0.0	0.02469118930367346	0.0
P9503_106_S6_L003	12142392.0	0.0	12142392.0	1.0	6071196.0	6071196.0	12055749.0	12027414.0	86643.0	11470312.0	12142392.0	0.0	3606.0	0.0	1372507.0	0.0	1365154152.0	683543618.0	681610534.0	1356058080.0	1355033560.0	0.0	0.0	1648064.0	0.001216253	112.0	113.0	112.0	114.0	114.0	114.0	35.6	219.3	76.3	5733926.0	248640.0	1311.0	29830.0	94.5	99.2864420782989	99.05308608056798	0.7135579217010948	94.46501150679372	100.0	0.0	0.02969760818132045	0.0
P9503_107_MRG_STAT	34984594.0	0.0	34984594.0	1.0	17492297.0	17492297.0	34731277.0	34650060.0	253317.0	32971076.0	34984594.0	0.0	10685.0	0.0	5016843.0	0.0	3927353975.0	1972507100.0	1954846875.0	3900915993.0	3898024713.0	0.0	0.0	3865134.0	0.0009915623	112.0	113.0	112.0	114.0	114.0	114.0	35.5	213.7	71.8	16483167.0	746032.0	3883.0	91948.0	94.2	99.27591842283492	99.04376766527575	0.7240815771650801	94.24455804746512	100.0	0.0	0.0305420151510119	0.0
P9503_107_S7_L001	11622130.0	0.0	11622130.0	1.0	5811065.0	5811065.0	11538822.0	11512222.0	83308.0	10952948.0	11622130.0	0.0	3345.0	0.0	1669684.0	0.0	1305410647.0	655671966.0	649738681.0	1296692807.0	1295749789.0	0.0	0.0	1094209.0	0.0008444601	112.0	113.0	112.0	114.0	114.0	114.0	35.5	213.6	71.7	5475529.0	248889.0	1293.0	30400.0	94.2	99.28319507697815	99.05432136794202	0.7168049230218557	94.24217419698454	100.0	0.0	0.028781299125031298	0.0
P9503_107_S7_L002	11618036.0	0.0	11618036.0	1.0	5809018.0	5809018.0	11533639.0	11506706.0	84397.0	10949830.0	11618036.0	0.0	3443.0	0.0	1676400.0	0.0	1302930986.0	654588678.0	648342308.0	1294135965.0	1293191923.0	0.0	0.0	1130848.0	0.0008744626	112.0	113.0	112.0	114.0	114.0	114.0	35.4	213.7	71.8	5474612.0	246727.0	1347.0	30667.0	94.2	99.27356912992867	99.04174853649963	0.726430870071327	94.24854596766613	100.0	0.0	0.029634957233735548	0.0
P9503_107_S7_L003	11744428.0	0.0	11744428.0	1.0	5872214.0	5872214.0	11658816.0	11631132.0	85612.0	11068298.0	11744428.0	0.0	3897.0	0.0	1670759.0	0.0	1319012342.0	662246456.0	656765886.0	1310087221.0	1309083001.0	0.0	0.0	1640077.0	0.001252844	112.0	113.0	112.0	114.0	114.0	114.0	35.5	213.7	71.7	5533026.0	250416.0	1243.0	30881.0	94.2	99.27104155264097	99.0353212604309	0.728958447359037	94.24297207152192	100.0	0.0	0.033181692629049284	0.0
P9503_108_MRG_STAT	29468058.0	0.0	29468058.0	1.0	14734029.0	14734029.0	28830952.0	28781418.0	637106.0	27661406.0	29468058.0	0.0	8683.0	0.0	4303344.0	0.0	3306532999.0	1660687372.0	1645845627.0	3236596523.0	3234564785.0	0.0	0.0	3249588.0	0.001004645	112.0	113.0	112.0	114.0	114.0	114.0	35.4	225.7	79.7	13829621.0	527139.0	1615.0	32334.0	93.9	97.83797765024082	97.66988377720716	2.162022349759187	93.86911753736877	100.0	0.0	0.029465803277569227	0.0
P9503_108_S8_L001	9759768.0	0.0	9759768.0	1.0	4879884.0	4879884.0	9549496.0	9533458.0	210272.0	9161542.0	9759768.0	0.0	2740.0	0.0	1428618.0	0.0	1095774862.0	550320377.0	545454485.0	1072667496.0	1072008449.0	0.0	0.0	917518.0	0.0008558869	112.0	113.0	112.0	114.0	114.0	114.0	35.5	225.6	79.7	4580194.0	175411.0	545.0	10579.0	93.9	97.84552255750341	97.68119488086192	2.154477442496584	93.87048954442359	100.0	0.0	0.02807443783499772	0.0
