"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008422","beta-glucosidase activity","5/112","10/4540",1.90886544238752e-06,5.61206440061929e-05,4.74202362529951e-05,"EXG2/SCW11/SCW4/SCW10/DSE4",5
"GO:0005215","transporter activity","23/112","355/4540",1.22024499855282e-05,0.000298960024645441,0.000252612122507426,"SIT1/FTR1/VMR1/ARN1/ARN2/GAP1/HXT10/ITR1/ZRT1/VHT1/AQY2/PRM6/PHO84/FET3/RSN1/FET4/MEP2/ALP1/BIO5/ENB1/DIP5/MEP3/OPT2",23
"GO:0046915","transition metal ion transmembrane transporter activity","5/112","28/4540",0.000521751713624608,0.0103805180902587,0.00877122187361637,"FTR1/ZRT1/PHO84/FET3/FET4",5
"GO:0015318","inorganic molecular entity transmembrane transporter activity","12/112","162/4540",0.000564926154571901,0.0103805180902587,0.00877122187361637,"FTR1/HXT10/ITR1/ZRT1/AQY2/PRM6/PHO84/FET3/RSN1/FET4/MEP2/MEP3",12
"GO:0022890","inorganic cation transmembrane transporter activity","11/112","146/4540",0.000839893673632008,0.0137182633359895,0.0115915150279037,"FTR1/HXT10/ITR1/ZRT1/PRM6/PHO84/FET3/RSN1/FET4/MEP2/MEP3",11
"GO:0008324","cation transmembrane transporter activity","12/112","175/4540",0.00112451275155834,0.0165303374479076,0.0139676320719878,"FTR1/GAP1/HXT10/ITR1/ZRT1/PRM6/PHO84/FET3/RSN1/FET4/MEP2/MEP3",12
"GO:0046873","metal ion transmembrane transporter activity","6/112","52/4540",0.00159237213351312,0.0212798821478571,0.0179808527994783,"FTR1/ZRT1/PRM6/PHO84/FET3/FET4",6
"GO:0015075","ion transmembrane transporter activity","13/112","217/4540",0.00240042583873821,0.0294052165245431,0.0248465130676411,"FTR1/GAP1/HXT10/ITR1/ZRT1/VHT1/PRM6/PHO84/FET3/RSN1/FET4/MEP2/MEP3",13
"GO:0016722","oxidoreductase activity, acting on metal ions","3/112","13/4540",0.00349006637764359,0.039464596731816,0.0333463832033962,"FET3/FRE7/FRE5",3
"GO:0005199","structural constituent of cell wall","4/112","33/4540",0.00827384613807985,0.0868753844498384,0.0734070559619114,"TIP1/CWP2/CIS3/PAU4",4
"GO:0015293","symporter activity","4/112","35/4540",0.010195496477221,0.0975564177032798,0.0824322040027713,"HXT10/ITR1/VHT1/PHO84",4
"GO:0005507","copper ion binding","3/112","19/4540",0.010618385600357,0.0975564177032798,0.0824322040027713,"MF(ALPHA)2/FET3/MF(ALPHA)1",3
NA,NA,NA,NA,NA,NA,NA,NA,NA
