"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046915","transition metal ion transmembrane transporter activity","5/117","28/4540",0.000637894570177114,0.0184989425351363,0.0154437632779722,"FTH1/FTR1/FET5/CCC2/FET3",5
"GO:0015318","inorganic molecular entity transmembrane transporter activity","12/117","162/4540",0.000839759089937564,0.0213088869071657,0.0177896333526247,"FTH1/FTR1/DAL4/GEX2/FET5/HXT10/CCC2/MPH3/SUL2/FET3/MEP2/HXT17",12
"GO:0022890","inorganic cation transmembrane transporter activity","11/117","146/4540",0.00120981167005443,0.0272879743356722,0.0227812489916683,"FTH1/FTR1/DAL4/GEX2/FET5/HXT10/CCC2/MPH3/FET3/MEP2/HXT17",11
"GO:0015295","solute:proton symporter activity","4/117","27/4540",0.00464887283367167,0.0943721185235348,0.0787861606548566,"DAL4/HXT10/MPH3/HXT17",4
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0005886","plasma membrane","30/117","442/4575",3.33507125405606e-07,4.0687869299484e-05,3.5457073332596e-05,"FTH1/AGP1/SPS22/SIT1/FTR1/ARN1/ARN2/ANS1/FAA3/DAL4/FAT3/VBA5/GEX2/FET5/GIC2/RTA1/ASG7/MPH3/MMP1/THI73/SUL2/FRE1/FET3/AQR1/MEP2/ENB1/PDR5/FRE5/DIP5/SAM3",30
"GO:0005887","integral component of plasma membrane","9/117","51/4575",4.2419866613022e-06,0.000258761186339434,0.00022549508041659,"SIT1/ARN1/ARN2/VBA5/GEX2/SUL2/AQR1/MEP2/ENB1",9
"GO:0031226","intrinsic component of plasma membrane","9/117","57/4575",1.10273647534065e-05,0.000448446166638529,0.000390794329857562,"SIT1/ARN1/ARN2/VBA5/GEX2/SUL2/AQR1/MEP2/ENB1",9
"GO:0005618","cell wall","11/117","107/4575",7.46455958446319e-05,0.00182135253860902,0.00158720109059112,"LDS1/SPS22/PAU2/ANS1/FIT1/SPR3/CRR1/PAU4/DSE4/LDS2/SPO19",11
"GO:0030312","external encapsulating structure","11/117","107/4575",7.46455958446319e-05,0.00182135253860902,0.00158720109059112,"LDS1/SPS22/PAU2/ANS1/FIT1/SPR3/CRR1/PAU4/DSE4/LDS2/SPO19",11
"GO:0005619","ascospore wall","4/117","11/4575",0.000116724791836669,0.00185194414301637,0.00161385986578648,"LDS1/SPR3/CRR1/LDS2",4
"GO:0005628","prospore membrane","8/117","61/4575",0.000136618830222519,0.00185194414301637,0.00161385986578648,"LDS1/SSP1/PES4/RRT5/SPR3/LDS2/SPO19/SPO24",8
"GO:0042763","intracellular immature spore","8/117","61/4575",0.000136618830222519,0.00185194414301637,0.00161385986578648,"LDS1/SSP1/PES4/RRT5/SPR3/LDS2/SPO19/SPO24",8
"GO:0042764","ascospore-type prospore","8/117","61/4575",0.000136618830222519,0.00185194414301637,0.00161385986578648,"LDS1/SSP1/PES4/RRT5/SPR3/LDS2/SPO19/SPO24",8
"GO:0031160","spore wall","4/117","12/4575",0.000171640810078454,0.00209401788295714,0.00182481282293935,"LDS1/SPR3/CRR1/LDS2",4
"GO:0009277","fungal-type cell wall","10/117","102/4575",0.000239016577633742,0.00265091113375605,0.00231011237712995,"LDS1/SPS22/PAU2/FIT1/SPR3/CRR1/PAU4/DSE4/LDS2/SPO19",10
"GO:0005773","vacuole","21/117","405/4575",0.00120206126639605,0.0122209562083599,0.0106498410443861,"FTH1/SIT1/ARN1/ARN2/ANS1/DAL4/VBA5/GEX2/FET5/HXT10/COS12/RTA1/IRC18/MPH3/CRR1/PAU4/FET3/AQR1/HXT17/ENB1/DIP5",21
"GO:1990204","oxidoreductase complex","5/117","34/4575",0.00154342863536414,0.013113149328696,0.0114273346177592,"FTH1/FTR1/FET3/IDH1/IDH2",5
"GO:0000322","storage vacuole","19/117","359/4575",0.00166452708502335,0.013113149328696,0.0114273346177592,"FTH1/SIT1/ARN1/ARN2/ANS1/DAL4/FET5/HXT10/COS12/RTA1/IRC18/MPH3/CRR1/PAU4/FET3/AQR1/HXT17/ENB1/DIP5",19
"GO:0000324","fungal-type vacuole","19/117","359/4575",0.00166452708502335,0.013113149328696,0.0114273346177592,"FTH1/SIT1/ARN1/ARN2/ANS1/DAL4/FET5/HXT10/COS12/RTA1/IRC18/MPH3/CRR1/PAU4/FET3/AQR1/HXT17/ENB1/DIP5",19
"GO:0000323","lytic vacuole","19/117","360/4575",0.00171975728900931,0.013113149328696,0.0114273346177592,"FTH1/SIT1/ARN1/ARN2/ANS1/DAL4/FET5/HXT10/COS12/RTA1/IRC18/MPH3/CRR1/PAU4/FET3/AQR1/HXT17/ENB1/DIP5",19
"GO:1902495","transmembrane transporter complex","3/117","14/4575",0.00482923600407228,0.0346568701468717,0.0302014140192756,"FTH1/FTR1/FET3",3
"GO:0005811","lipid droplet","5/117","52/4575",0.0100090517169508,0.0645280203090357,0.05623235592073,"LDS1/FAA3/YEH1/SRT1/LDS2",5
"GO:0098797","plasma membrane protein complex","3/117","18/4575",0.0100494457858334,0.0645280203090357,0.05623235592073,"FTH1/FTR1/FET3",3
